x,y,T
-1,-1,100
-0.933333,-1,100
-0.866667,-1,100
-0.8,-1,100
-0.733333,-1,100
-0.666667,-1,100
-0.6,-1,100
-0.533333,-1,100
-0.466667,-1,100
-0.4,-1,100
-0.333333,-1,100
-0.266667,-1,100
-0.2,-1,100
-0.133333,-1,100
-0.0666667,-1,100
-1.38778e-17,-1,100
0.0666667,-1,100
0.133333,-1,100
0.2,-1,100
0.266667,-1,100
0.333333,-1,100
0.4,-1,100
0.466667,-1,100
0.533333,-1,100
0.6,-1,100
0.666667,-1,100
0.733333,-1,100
0.8,-1,100
0.866667,-1,100
0.933333,-1,100
1,-1,100
-1,-0.933333,98.1596
-0.933333,-0.933333,98.1579
-0.866667,-0.933333,98.1527
-0.8,-0.933333,98.1445
-0.733333,-0.933333,98.1335
-0.666667,-0.933333,98.1205
-0.6,-0.933333,98.1063
-0.533333,-0.933333,98.0915
-0.466667,-0.933333,98.0769
-0.4,-0.933333,98.0633
-0.333333,-0.933333,98.0511
-0.266667,-0.933333,98.0409
-0.2,-0.933333,98.0327
-0.133333,-0.933333,98.0268
-0.0666667,-0.933333,98.0232
-1.38778e-17,-0.933333,98.022
0.0666667,-0.933333,98.0232
0.133333,-0.933333,98.0268
0.2,-0.933333,98.0327
0.266667,-0.933333,98.0409
0.333333,-0.933333,98.0511
0.4,-0.933333,98.0633
0.466667,-0.933333,98.0769
0.533333,-0.933333,98.0915
0.6,-0.933333,98.1063
0.666667,-0.933333,98.1205
0.733333,-0.933333,98.1335
0.8,-0.933333,98.1445
0.866667,-0.933333,98.1527
0.933333,-0.933333,98.1579
1,-0.933333,98.1596
-1,-0.866667,96.3228
-0.933333,-0.866667,96.3192
-0.866667,-0.866667,96.3086
-0.8,-0.866667,96.2916
-0.733333,-0.866667,96.2691
-0.666667,-0.866667,96.2424
-0.6,-0.866667,96.213
-0.533333,-0.866667,96.1827
-0.466667,-0.866667,96.1529
-0.4,-0.866667,96.1251
-0.333333,-0.866667,96.1004
-0.266667,-0.866667,96.0796
-0.2,-0.866667,96.0631
-0.133333,-0.866667,96.0512
-0.0666667,-0.866667,96.0441
-1.38778e-17,-0.866667,96.0417
0.0666667,-0.866667,96.0441
0.133333,-0.866667,96.0512
0.2,-0.866667,96.0631
0.266667,-0.866667,96.0796
0.333333,-0.866667,96.1004
0.4,-0.866667,96.1251
0.466667,-0.866667,96.1529
0.533333,-0.866667,96.1827
0.6,-0.866667,96.213
0.666667,-0.866667,96.2424
0.733333,-0.866667,96.2691
0.8,-0.866667,96.2916
0.866667,-0.866667,96.3086
0.933333,-0.866667,96.3192
1,-0.866667,96.3228
-1,-0.8,94.4931
-0.933333,-0.8,94.4875
-0.866667,-0.8,94.4709
-0.8,-0.8,94.4442
-0.733333,-0.8,94.4088
-0.666667,-0.8,94.3669
-0.6,-0.8,94.3208
-0.533333,-0.8,94.2733
-0.466667,-0.8,94.2269
