x,y,T
-1,-1,100
-0.933333,-1,100
-0.866667,-1,100
-0.8,-1,100
-0.733333,-1,100
-0.666667,-1,100
-0.6,-1,100
-0.533333,-1,100
-0.466667,-1,100
-0.4,-1,100
-0.333333,-1,100
-0.266667,-1,100
-0.2,-1,100
-0.133333,-1,100
-0.0666667,-1,100
-1.38778e-17,-1,100
0.0666667,-1,100
0.133333,-1,100
0.2,-1,100
0.266667,-1,100
0.333333,-1,100
0.4,-1,100
0.466667,-1,100
0.533333,-1,100
0.6,-1,100
0.666667,-1,100
0.733333,-1,100
0.8,-1,100
0.866667,-1,100
0.933333,-1,100
1,-1,100
-1,-0.933333,115.45
-0.933333,-0.933333,115.504
-0.866667,-0.933333,115.658
-0.8,-0.933333,115.894
-0.733333,-0.933333,116.18
-0.666667,-0.933333,116.479
-0.6,-0.933333,116.76
-0.533333,-0.933333,117
-0.466667,-0.933333,117.199
-0.4,-0.933333,117.373
-0.333333,-0.933333,117.543
-0.266667,-0.933333,117.722
-0.2,-0.933333,117.904
-0.133333,-0.933333,118.066
-0.0666667,-0.933333,118.173
-1.38778e-17,-0.933333,118.196
0.0666667,-0.933333,118.132
0.133333,-0.933333,118.004
0.2,-0.933333,117.853
0.266667,-0.933333,117.715
0.333333,-0.933333,117.61
0.4,-0.933333,117.532
0.466667,-0.933333,117.453
0.533333,-0.933333,117.336
0.6,-0.933333,117.148
0.666667,-0.933333,116.885
0.733333,-0.933333,116.571
0.8,-0.933333,116.255
0.866667,-0.933333,115.986
0.933333,-0.933333,115.808
1,-0.933333,115.745
-1,-0.866667,130.793
-0.933333,-0.866667,130.907
-0.866667,-0.866667,131.236
-0.8,-0.866667,131.737
-0.733333,-0.866667,132.345
-0.666667,-0.866667,132.978
-0.6,-0.866667,133.559
-0.533333,-0.866667,134.04
-0.466667,-0.866667,134.423
-0.4,-0.866667,134.75
-0.333333,-0.866667,135.079
-0.266667,-0.866667,135.441
-0.2,-0.866667,135.828
-0.133333,-0.866667,136.186
-0.0666667,-0.866667,136.428
-1.38778e-17,-0.866667,136.481
0.0666667,-0.866667,136.328
0.133333,-0.866667,136.03
0.2,-0.866667,135.691
0.266667,-0.866667,135.398
0.333333,-0.866667,135.194
0.4,-0.866667,135.065
0.466667,-0.866667,134.945
0.533333,-0.866667,134.741
0.6,-0.866667,134.373
0.666667,-0.866667,133.819
0.733333,-0.866667,133.145
0.8,-0.866667,132.461
0.866667,-0.866667,131.883
0.933333,-0.866667,131.499
1,-0.866667,131.365
-1,-0.8,145.907
-0.933333,-0.8,146.096
-0.866667,-0.8,146.641
-0.8,-0.8,147.475
-0.733333,-0.8,148.486
-0.666667,-0.8,149.529
-0.6,-0.8,150.459
-0.533333,-0.8,151.179
-0.466667,-0.8,151.701
-0.4,-0.8,152.127
-0.333333,-0.8,152.58
-0.266667,-0.8,153.134
-0.2,-0.8,153.782
-0.133333,-0.8,154.42
