x,y,T
-1,-1,100
-0.98,-1,100
-0.96,-1,100
-0.94,-1,100
-0.92,-1,100
-0.9,-1,100
-0.88,-1,100
-0.86,-1,100
-0.84,-1,100
-0.82,-1,100
-0.8,-1,100
-0.78,-1,100
-0.76,-1,100
-0.74,-1,100
-0.72,-1,100
-0.7,-1,100
-0.68,-1,100
-0.66,-1,100
-0.64,-1,100
-0.62,-1,100
-0.6,-1,100
-0.58,-1,100
-0.56,-1,100
-0.54,-1,100
-0.52,-1,100
-0.5,-1,100
-0.48,-1,100
-0.46,-1,100
-0.44,-1,100
-0.42,-1,100
-0.4,-1,100
-0.38,-1,100
-0.36,-1,100
-0.34,-1,100
-0.32,-1,100
-0.3,-1,100
-0.28,-1,100
-0.26,-1,100
-0.24,-1,100
-0.22,-1,100
-0.2,-1,100
-0.18,-1,100
-0.16,-1,100
-0.14,-1,100
-0.12,-1,100
-0.1,-1,100
-0.08,-1,100
-0.06,-1,100
-0.04,-1,100
-0.02,-1,100
2.08167e-17,-1,100
0.02,-1,100
0.04,-1,100
0.06,-1,100
0.08,-1,100
0.1,-1,100
0.12,-1,100
0.14,-1,100
0.16,-1,100
0.18,-1,100
0.2,-1,100
0.22,-1,100
0.24,-1,100
0.26,-1,100
0.28,-1,100
0.3,-1,100
0.32,-1,100
0.34,-1,100
0.36,-1,100
0.38,-1,100
0.4,-1,100
0.42,-1,100
0.44,-1,100
0.46,-1,100
0.48,-1,100
0.5,-1,100
0.52,-1,100
0.54,-1,100
0.56,-1,100
0.58,-1,100
0.6,-1,100
0.62,-1,100
0.64,-1,100
0.66,-1,100
0.68,-1,100
0.7,-1,100
0.72,-1,100
0.74,-1,100
0.76,-1,100
0.78,-1,100
0.8,-1,100
0.82,-1,100
0.84,-1,100
0.86,-1,100
0.88,-1,100
0.9,-1,100
0.92,-1,100
0.94,-1,100
0.96,-1,100
0.98,-1,100
1,-1,100
-1,-0.98,104.851
-0.98,-0.98,104.853
-0.96,-0.98,104.862
-0.94,-0.98,104.875
-0.92,-0.98,104.894
-0.9,-0.98,104.918
-0.88,-0.98,104.947
-0.86,-0.98,104.98
-0.84,-0.98,105.019
-0.82,-0.98,105.061
-0.8,-0.98,105.108
-0.78,-0.98,105.157
-0.76,-0.98,105.21
-0.74,-0.98,105.265
-0.72,-0.98,105.322
-0.7,-0.98,105.381
-0.68,-0.98,105.439
-0.66,-0.98,105.498
-0.64,-0.98,105.555
-0.62,-0.98,105.611
-0.6,-0.98,105.664
-0.58,-0.98,105.714
-0.56,-0.98,105.761
-0.54,-0.98,105.803
-0.52,-0.98,105.84
-0.5,-0.98,105.872
-0.48,-0.98,105.9
-0.46,-0.98,105.922
-0.44,-0.98,105.939
-0.42,-0.98,105.952
-0.4,-0.98,105.961
-0.38,-0.98,105.965
-0.36,-0.98,105.967
-0.34,-0.98,105.967
-0.32,-0.98,105.964
-0.3,-0.98,105.96
-0.28,-0.98,105.956
-0.26,-0.98,105.951
