x,y,T
-1,-1,100
-0.98,-1,100
-0.96,-1,100
-0.94,-1,100
-0.92,-1,100
-0.9,-1,100
-0.88,-1,100
-0.86,-1,100
-0.84,-1,100
-0.82,-1,100
-0.8,-1,100
-0.78,-1,100
-0.76,-1,100
-0.74,-1,100
-0.72,-1,100
-0.7,-1,100
-0.68,-1,100
-0.66,-1,100
-0.64,-1,100
-0.62,-1,100
-0.6,-1,100
-0.58,-1,100
-0.56,-1,100
-0.54,-1,100
-0.52,-1,100
-0.5,-1,100
-0.48,-1,100
-0.46,-1,100
-0.44,-1,100
-0.42,-1,100
-0.4,-1,100
-0.38,-1,100
-0.36,-1,100
-0.34,-1,100
-0.32,-1,100
-0.3,-1,100
-0.28,-1,100
-0.26,-1,100
-0.24,-1,100
-0.22,-1,100
-0.2,-1,100
-0.18,-1,100
-0.16,-1,100
-0.14,-1,100
-0.12,-1,100
-0.1,-1,100
-0.08,-1,100
-0.06,-1,100
-0.04,-1,100
-0.02,-1,100
2.08167e-17,-1,100
0.02,-1,100
0.04,-1,100
0.06,-1,100
0.08,-1,100
0.1,-1,100
0.12,-1,100
0.14,-1,100
0.16,-1,100
0.18,-1,100
0.2,-1,100
0.22,-1,100
0.24,-1,100
0.26,-1,100
0.28,-1,100
0.3,-1,100
0.32,-1,100
0.34,-1,100
0.36,-1,100
0.38,-1,100
0.4,-1,100
0.42,-1,100
0.44,-1,100
0.46,-1,100
0.48,-1,100
0.5,-1,100
0.52,-1,100
0.54,-1,100
0.56,-1,100
0.58,-1,100
0.6,-1,100
0.62,-1,100
0.64,-1,100
0.66,-1,100
0.68,-1,100
0.7,-1,100
0.72,-1,100
0.74,-1,100
0.76,-1,100
0.78,-1,100
0.8,-1,100
0.82,-1,100
0.84,-1,100
0.86,-1,100
0.88,-1,100
0.9,-1,100
0.92,-1,100
0.94,-1,100
0.96,-1,100
0.98,-1,100
1,-1,100
-1,-0.98,103.851
-0.98,-0.98,103.854
-0.96,-0.98,103.864
-0.94,-0.98,103.879
-0.92,-0.98,103.901
-0.9,-0.98,103.929
-0.88,-0.98,103.962
-0.86,-0.98,104.001
-0.84,-0.98,104.046
-0.82,-0.98,104.096
-0.8,-0.98,104.15
-0.78,-0.98,104.209
-0.76,-0.98,104.271
-0.74,-0.98,104.337
-0.72,-0.98,104.405
-0.7,-0.98,104.475
-0.68,-0.98,104.547
-0.66,-0.98,104.619
-0.64,-0.98,104.692
-0.62,-0.98,104.763
-0.6,-0.98,104.832
-0.58,-0.98,104.899
-0.56,-0.98,104.964
-0.54,-0.98,105.024
-0.52,-0.98,105.081
-0.5,-0.98,105.134
-0.48,-0.98,105.182
-0.46,-0.98,105.227
-0.44,-0.98,105.267
-0.42,-0.98,105.303
-0.4,-0.98,105.337
-0.38,-0.98,105.367
-0.36,-0.98,105.395
-0.34,-0.98,105.422
-0.32,-0.98,105.447
-0.3,-0.98,105.472
-0.28,-0.98,105.496
-0.26,-0.98,105.521
