x,y,T
-1,-1,100
-0.933333,-1,100
-0.866667,-1,100
-0.8,-1,100
-0.733333,-1,100
-0.666667,-1,100
-0.6,-1,100
-0.533333,-1,100
-0.466667,-1,100
-0.4,-1,100
-0.333333,-1,100
-0.266667,-1,100
-0.2,-1,100
-0.133333,-1,100
-0.0666667,-1,100
-1.38778e-17,-1,100
0.0666667,-1,100
0.133333,-1,100
0.2,-1,100
0.266667,-1,100
0.333333,-1,100
0.4,-1,100
0.466667,-1,100
0.533333,-1,100
0.6,-1,100
0.666667,-1,100
0.733333,-1,100
0.8,-1,100
0.866667,-1,100
0.933333,-1,100
1,-1,100
-1,-0.933333,98.4965
-0.933333,-0.933333,98.5995
-0.866667,-0.933333,98.5306
-0.8,-0.933333,98.3305
-0.733333,-0.933333,98.2441
-0.666667,-0.933333,98.1972
-0.6,-0.933333,98.166
-0.533333,-0.933333,98.1427
-0.466667,-0.933333,98.1246
-0.4,-0.933333,98.1111
-0.333333,-0.933333,98.103
-0.266667,-0.933333,98.1024
-0.2,-0.933333,98.1138
-0.133333,-0.933333,98.1481
-0.0666667,-0.933333,98.2329
-1.38778e-17,-0.933333,98.4435
0.0666667,-0.933333,98.4107
0.133333,-0.933333,98.2098
0.2,-0.933333,98.1388
0.266667,-0.933333,98.1142
0.333333,-0.933333,98.1096
0.4,-0.933333,98.1155
0.466667,-0.933333,98.1281
0.533333,-0.933333,98.1464
0.6,-0.933333,98.1707
0.666667,-0.933333,98.2043
0.733333,-0.933333,98.2561
0.8,-0.933333,98.3502
0.866667,-0.933333,98.5535
0.933333,-0.933333,98.5584
1,-0.933333,98.4514
-1,-0.866667,96.7868
-0.933333,-0.866667,96.871
-0.866667,-0.866667,96.6921
-0.8,-0.866667,96.5474
-0.733333,-0.866667,96.4488
-0.666667,-0.866667,96.3785
-0.6,-0.866667,96.3243
-0.533333,-0.866667,96.2803
-0.466667,-0.866667,96.2445
-0.4,-0.866667,96.2168
-0.333333,-0.866667,96.1986
-0.266667,-0.866667,96.1927
-0.2,-0.866667,96.2047
-0.133333,-0.866667,96.2458
-0.0666667,-0.866667,96.34
-1.38778e-17,-0.866667,96.5427
0.0666667,-0.866667,96.4017
0.133333,-0.866667,96.2897
0.2,-0.866667,96.231
0.266667,-0.866667,96.2085
0.333333,-0.866667,96.2087
0.4,-0.866667,96.2241
0.466667,-0.866667,96.2507
0.533333,-0.866667,96.2866
0.6,-0.866667,96.3323
0.666667,-0.866667,96.3905
0.733333,-0.866667,96.4699
0.8,-0.866667,96.5912
0.866667,-0.866667,96.8035
0.933333,-0.866667,96.7264
1,-0.866667,96.689
-1,-0.8,94.9088
-0.933333,-0.8,94.9053
-0.866667,-0.8,94.8196
-0.8,-0.8,94.7181
-0.733333,-0.8,94.6252
-0.666667,-0.8,94.5437
-0.6,-0.8,94.4723
-0.533333,-0.8,94.4097
-0.466667,-0.8,94.3562
