x,y,T
-1,-1,100
-0.9,-1,100
-0.8,-1,100
-0.7,-1,100
-0.6,-1,100
-0.5,-1,100
-0.4,-1,100
-0.3,-1,100
-0.2,-1,100
-0.1,-1,100
0,-1,100
0.1,-1,100
0.2,-1,100
0.3,-1,100
0.4,-1,100
0.5,-1,100
0.6,-1,100
0.7,-1,100
0.8,-1,100
0.9,-1,100
1,-1,100
-1,-0.9,135.812
-0.9,-0.9,116.873
-0.8,-0.9,110.459
-0.7,-0.9,107.876
-0.6,-0.9,106.639
-0.5,-0.9,105.992
-0.4,-0.9,105.724
-0.3,-0.9,105.873
-0.2,-0.9,106.795
-0.1,-0.9,109.722
0,-0.9,118.997
0.1,-0.9,109.414
0.2,-0.9,106.168
0.3,-0.9,104.908
0.4,-0.9,104.406
0.5,-0.9,104.33
0.6,-0.9,104.715
0.7,-0.9,105.976
0.8,-0.9,109.507
0.9,-0.9,120.074
1,-0.9,113.743
-1,-0.8,126.168
-0.9,-0.8,121.222
-0.8,-0.8,117.089
-0.7,-0.8,114.405
-0.6,-0.8,112.688
-0.5,-0.8,111.606
-0.4,-0.8,111.03
-0.3,-0.8,110.974
-0.2,-0.8,111.584
-0.1,-0.8,113.096
0,-0.8,115.186
0.1,-0.8,112.492
0.2,-0.8,110.349
0.3,-0.8,109.06
0.4,-0.8,108.385
0.5,-0.8,108.2
0.6,-0.8,108.553
0.7,-0.8,109.681
0.8,-0.8,111.979
0.9,-0.8,115.378
1,-0.8,114.826
-1,-0.7,126.415
-0.9,-0.7,124.757
-0.8,-0.7,122.269
-0.7,-0.7,119.966
-0.6,-0.7,118.1
-0.5,-0.7,116.715
-0.4,-0.7,115.818
-0.3,-0.7,115.408
-0.2,-0.7,115.472
-0.1,-0.7,115.891
0,-0.7,116.159
0.1,-0.7,115.018
0.2,-0.7,113.676
0.3,-0.7,112.597
0.4,-0.7,111.876
0.5,-0.7,111.532
0.6,-0.7,111.616
0.7,-0.7,112.217
0.8,-0.7,113.351
0.9,-0.7,114.633
1,-0.7,114.803
-1,-0.6,129.977
-0.9,-0.6,129.123
-0.8,-0.6,127.265
-0.7,-0.6,125.091
-0.6,-0.6,123.033
-0.5,-0.6,121.336
-0.4,-0.6,120.117
