x,y,T
-1,-1,0
-0.98,-1,0
-0.96,-1,0
-0.94,-1,0
-0.92,-1,0
-0.9,-1,0
-0.88,-1,0
-0.86,-1,0
-0.84,-1,0
-0.82,-1,0
-0.8,-1,0
-0.78,-1,0
-0.76,-1,0
-0.74,-1,0
-0.72,-1,0
-0.7,-1,0
-0.68,-1,0
-0.66,-1,0
-0.64,-1,0
-0.62,-1,0
-0.6,-1,0
-0.58,-1,0
-0.56,-1,0
-0.54,-1,0
-0.52,-1,0
-0.5,-1,0
-0.48,-1,0
-0.46,-1,0
-0.44,-1,0
-0.42,-1,0
-0.4,-1,0
-0.38,-1,0
-0.36,-1,0
-0.34,-1,0
-0.32,-1,0
-0.3,-1,0
-0.28,-1,0
-0.26,-1,0
-0.24,-1,0
-0.22,-1,0
-0.2,-1,0
-0.18,-1,0
-0.16,-1,0
-0.14,-1,0
-0.12,-1,0
-0.1,-1,0
-0.08,-1,0
-0.06,-1,0
-0.04,-1,0
-0.02,-1,0
2.08167e-17,-1,0
0.02,-1,0
0.04,-1,0
0.06,-1,0
0.08,-1,0
0.1,-1,0
0.12,-1,0
0.14,-1,0
0.16,-1,0
0.18,-1,0
0.2,-1,0
0.22,-1,0
0.24,-1,0
0.26,-1,0
0.28,-1,0
0.3,-1,0
0.32,-1,0
0.34,-1,0
0.36,-1,0
0.38,-1,0
0.4,-1,0
0.42,-1,0
0.44,-1,0
0.46,-1,0
0.48,-1,0
0.5,-1,0
0.52,-1,0
0.54,-1,0
0.56,-1,0
0.58,-1,0
0.6,-1,0
0.62,-1,0
0.64,-1,0
0.66,-1,0
0.68,-1,0
0.7,-1,0
0.72,-1,0
0.74,-1,0
0.76,-1,0
0.78,-1,0
0.8,-1,0
0.82,-1,0
0.84,-1,0
0.86,-1,0
0.88,-1,0
0.9,-1,0
0.92,-1,0
0.94,-1,0
0.96,-1,0
0.98,-1,0
1,-1,0
-1,-0.98,4.16154e-07
-0.98,-0.98,4.16109e-07
-0.96,-0.98,4.15976e-07
-0.94,-0.98,4.15755e-07
-0.92,-0.98,4.15447e-07
-0.9,-0.98,4.15052e-07
-0.88,-0.98,4.14573e-07
-0.86,-0.98,4.14011e-07
-0.84,-0.98,4.13368e-07
-0.82,-0.98,4.12647e-07
-0.8,-0.98,4.1185e-07
-0.78,-0.98,4.10979e-07
-0.76,-0.98,4.10038e-07
-0.74,-0.98,4.0903e-07
-0.72,-0.98,4.07957e-07
-0.7,-0.98,4.06823e-07
-0.68,-0.98,4.0563e-07
-0.66,-0.98,4.04382e-07
-0.64,-0.98,4.03082e-07
-0.62,-0.98,4.01732e-07
-0.6,-0.98,4.00336e-07
-0.58,-0.98,3.98896e-07
-0.56,-0.98,3.97414e-07
-0.54,-0.98,3.95894e-07
-0.52,-0.98,3.94337e-07
-0.5,-0.98,3.92745e-07
-0.48,-0.98,3.91121e-07
-0.46,-0.98,3.89465e-07
-0.44,-0.98,3.8778e-07
-0.42,-0.98,3.86067e-07
-0.4,-0.98,3.84326e-07
-0.38,-0.98,3.8256e-07
-0.36,-0.98,3.80769e-07
-0.34,-0.98,3.78954e-07
-0.32,-0.98,3.77115e-07
-0.3,-0.98,3.75254e-07
-0.28,-0.98,3.7337e-07
-0.26,-0.98,3.71465e-07
-0.24,-0.98,3.69539e-07
-0.22,-0.98,3.67591e-07
-0.2,-0.98,3.65624e-07
-0.18,-0.98,3.63636e-07
-0.16,-0.98,3.61628e-07
-0.14,-0.98,3.59601e-07
-0.12,-0.98,3.57554e-07
-0.1,-0.98,3.55488e-07
-0.08,-0.98,3.53404e-07
-0.06,-0.98,3.51301e-07
-0.04,-0.98,3.49179e-07
-0.02,-0.98,3.47039e-07
2.08167e-17,-0.98,3.44882e-07
0.02,-0.98,3.42706e-07
0.04,-0.98,3.40513e-07
0.06,-0.98,3.38303e-07
0.08,-0.98,3.36077e-07
0.1,-0.98,3.33834e-07
0.12,-0.98,3.31574e-07
0.14,-0.98,3.293e-07
0.16,-0.98,3.2701e-07
0.18,-0.98,3.24706e-07
0.2,-0.98,3.22389e-07
0.22,-0.98,3.20059e-07
0.24,-0.98,3.17718e-07
0.26,-0.98,3.15366e-07
0.28,-0.98,3.13006e-07
0.3,-0.98,3.1064e-07
0.32,-0.98,3.08268e-07
0.34,-0.98,3.05894e-07
0.36,-0.98,3.03519e-07
0.38,-0.98,3.01148e-07
0.4,-0.98,2.98782e-07
0.42,-0.98,2.96425e-07
0.44,-0.98,2.94081e-07
0.46,-0.98,2.91754e-07
0.48,-0.98,2.89448e-07
0.5,-0.98,2.87167e-07
0.52,-0.98,2.84917e-07
0.54,-0.98,2.82702e-07
0.56,-0.98,2.80528e-07
0.58,-0.98,2.78399e-07
0.6,-0.98,2.76322e-07
0.62,-0.98,2.74301e-07
0.64,-0.98,2.72343e-07
0.66,-0.98,2.70453e-07
0.68,-0.98,2.68636e-07
0.7,-0.98,2.66898e-07
0.72,-0.98,2.65244e-07
0.74,-0.98,2.6368e-07
0.76,-0.98,2.62209e-07
0.78,-0.98,2.60838e-07
0.8,-0.98,2.59571e-07
0.82,-0.98,2.58411e-07
0.84,-0.98,2.57362e-07
0.86,-0.98,2.56428e-07
0.88,-0.98,2.55613e-07
0.9,-0.98,2.54918e-07
0.92,-0.98,2.54346e-07
0.94,-0.98,2.539e-07
0.96,-0.98,2.53579e-07
0.98,-0.98,2.53387e-07
1,-0.98,2.53323e-07
-1,-0.96,8.32396e-07
-0.98,-0.96,8.32307e-07
-0.96,-0.96,8.3204e-07
-0.94,-0.96,8.31597e-07
-0.92,-0.96,8.30979e-07
-0.9,-0.96,8.30189e-07
-0.88,-0.96,8.29229e-07
-0.86,-0.96,8.28103e-07
